Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),THERMAL ZONE 1:Zone Outdoor Air Wind Speed [m/s](Hourly),THERMAL ZONE 1:Zone Mean Air Temperature [C](Hourly),UPW:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](Hourly),UPW:AFN Linkage Node 2 to Node 1 Volume Flow Rate [m3/s](Hourly),DOWNW:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](Hourly),DOWNW:AFN Linkage Node 2 to Node 1 Volume Flow Rate [m3/s](Hourly) 
 01/01  01:00:00,25.0,4.5,4.024039783506253,14.999999999999999,0.0,0.720404897929666,0.7204378535482677,0.0 
 01/01  02:00:00,25.0,4.5,4.024039783506253,15.000000000000002,0.0,0.7204048979296681,0.720437853548269,0.0 
 01/01  03:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296691,0.7204378535482695,0.0 
 01/01  04:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296701,0.7204378535482702,0.0 
 01/01  05:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296708,0.7204378535482707,0.0 
 01/01  06:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296713,0.7204378535482712,0.0 
 01/01  07:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296718,0.7204378535482713,0.0 
 01/01  08:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296719,0.7204378535482717,0.0 
 01/01  09:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296723,0.7204378535482717,0.0 
 01/01  10:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296722,0.720437853548272,0.0 
 01/01  11:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296726,0.7204378535482717,0.0 
 01/01  12:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296726,0.7204378535482717,0.0 
 01/01  13:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296726,0.720437853548272,0.0 
 01/01  14:00:00,25.0,4.5,4.024039783506253,14.999999999999999,0.0,0.7204048979296728,0.720437853548272,0.0 
 01/01  15:00:00,25.0,4.5,4.024039783506253,14.999999999999999,0.0,0.7204048979296728,0.7204378535482717,0.0 
 01/01  16:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296728,0.7204378535482721,0.0 
 01/01  17:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296727,0.7204378535482721,0.0 
 01/01  18:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296727,0.7204378535482721,0.0 
 01/01  19:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296727,0.7204378535482721,0.0 
 01/01  20:00:00,25.0,4.5,4.024039783506253,14.999999999999999,0.0,0.7204048979296731,0.720437853548272,0.0 
 01/01  21:00:00,25.0,4.5,4.024039783506253,14.999999999999999,0.0,0.7204048979296731,0.720437853548272,0.0 
 01/01  22:00:00,25.0,4.5,4.024039783506253,14.999999999999999,0.0,0.7204048979296731,0.720437853548272,0.0 
 01/01  23:00:00,25.0,4.5,4.024039783506253,14.999999999999999,0.0,0.7204048979296731,0.720437853548272,0.0 
 01/01  24:00:00,25.0,4.5,4.024039783506253,14.999999999999995,0.0,0.7204048979296731,0.720437853548272,0.0 
 01/02  01:00:00,25.0,4.5,4.024039783506253,14.999999999999999,0.0,0.7204048979296731,0.720437853548272,0.0 
 01/02  02:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296731,0.720437853548272,0.0 
 01/02  03:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296731,0.720437853548272,0.0 
 01/02  04:00:00,25.0,4.5,4.024039783506253,14.999999999999999,0.0,0.7204048979296731,0.720437853548272,0.0 
 01/02  05:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296731,0.720437853548272,0.0 
 01/02  06:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296731,0.720437853548272,0.0 
 01/02  07:00:00,25.0,4.5,4.024039783506253,14.999999999999999,0.0,0.7204048979296731,0.720437853548272,0.0 
 01/02  08:00:00,25.0,4.5,4.024039783506253,14.999999999999995,0.0,0.7204048979296731,0.720437853548272,0.0 
 01/02  09:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296731,0.720437853548272,0.0 
 01/02  10:00:00,25.0,4.5,4.024039783506253,15.0,0.0,0.7204048979296731,0.720437853548272,0.0 
